Cell_Type,Process,Prior,Weighted_Hits,Raw_Hits,Coverage,Confidence,Process_Size
Blood and immune cells,recycling,0.0057,2.0,2,0.006,0.028,355
Germ cells,recycling,0.0198,7.0,7,0.02,0.094,355
Trophoblast cells,recycling,0.0029,1.0,1,0.003,0.014,355
Muscle cells,recycling,0.0001,0.0,0,0.0,0.0,355
Ciliated cells,recycling,0.0001,0.0,0,0.0,0.0,355
Specialized epithelial cells,recycling,0.0142,5.0,5,0.014,0.068,355
Squamous epithelial cells,recycling,0.0001,0.0,0,0.0,0.0,355
Glial cells,recycling,0.0086,3.0,3,0.008,0.041,355
Pigment cells,recycling,0.0001,0.0,0,0.0,0.0,355
Glandular epithelial cells,recycling,0.0029,1.0,1,0.003,0.014,355
Neuronal cells,recycling,0.0001,0.0,0,0.0,0.0,355
Endothelial and mural cells,recycling,0.0057,2.0,2,0.006,0.028,355
Mesenchymal cells,recycling,0.0029,1.0,1,0.003,0.014,355
Stem and proliferating cells,recycling,0.0001,0.0,0,0.0,0.0,355
Endocrine cells,recycling,0.0001,0.0,0,0.0,0.0,355
